Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2939925,Yes,Nigeria,"Ikeja, lagos",Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,No,Other,Registered Critical Care Nurse,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,"Neurologist, Nephrologist",Respiratory therapist,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Handouts Simulations,Lectures Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Advanced Practice Provider Registered Nurse,Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5,2,3,5,5,3,3,Inadequate Staff with high inflow of patients care,Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2939933,Yes,Sudan,Karachiartoum,Adult,Medical ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2939934,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government Private,,11 - 20 beds,1 nurse to 3-5 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,,,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Compliant on most patients,Non-Compliant,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician,Physician Training MD Intern / Resident / Fellow,,No,Fentanyl Morphine Ketamine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Diazepam Propofol Ketamine,,No,No,Yes,Within 1-3 days of admission,Daily,No,No,No,No,I don't know,Yes,I don't know,Yes,I don't know,Yes,Yes,1,5,1,1,Not a Barrier,Not a Barrier,1,Unqualified staff lacking any critical care knowledge,Completed,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2939937,Yes,Sudan,Karachiartoum,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2939945,Yes,Sudan,Karachiartoum,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,No,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,,Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility",I don't know,I don't know,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),No,Lectures,Lectures,No,No,No,Physician,Physician,Physician Training MD Intern / Resident / Fellow,,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,I don't know,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,I don't know,Midazolam,,No,No,Yes,Within 4-6 days of admission,Variable,No,Yes,No,I don't know,I don't know,No,Yes,Yes,No,Yes,Yes,1,4,1,1,7,7,6,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2939965,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2940023,Yes,Sudan,Karachiartoum,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation",I don't know,Compliant on some patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,No,No,I don't know,Within 1-3 days of admission,Daily,No,Yes,Yes,I don't know,I don't know,Yes,No,Yes,I don't know,No,Yes,1,4,1,2,7,4,7,N/ A,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2940044,Yes,Egypt,Cairo,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,No,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures,Videos Lectures,Videos Lectures,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Daily,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2940059,Yes,Pakistan,Peshawar,Both Adult and Pediatric,Surgical ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,,,,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it","D: Delirium Assessment, Prevention and Management",I don't know,Compliant on some patients,Non-Compliant,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on most patients,Compliant on some patients,Videos,Simulations,Videos,Videos,Videos,Lectures,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Advanced Practice Provider,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Ketamine Remifentanyl Paracetamol Nalbuphine,,No,No,No,Midazolam Diazepam Propofol Ketamine,,No,I don't know,No,Within 1-3 days of admission,Once a week,I don't know,No,I don't know,I don't know,I don't know,I don't know,I don't know,No,I don't know,I don't know,No,1,Not a Barrier,Not a Barrier,5,Not a Barrier,Not a Barrier,Not a Barrier,Nill,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2940061,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2940080,Yes,,,Both Adult and Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on some patients,Lectures,Lectures,Lectures,Videos Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Advanced Practice Provider,Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine,,Yes,Yes,Yes,Within 7-10 days of admission,Daily,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Not a Barrier,4,4,Not a Barrier,2,4,3,Family education,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2940131,Yes,Sudan,Karachiartoum,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on most patients,Lectures,Lectures,Lectures Handouts,Lectures Handouts,No,No,Physician Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Registered Nurse,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,No,Yes,Yes,Never,Variable,No,No,No,No,I don't know,No,No,No,No,Yes,Yes,1,1,1,2,Not a Barrier,1,1,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2940148,Yes,,,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government Private University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it",C: Choice of Analgesia and Sedation,No,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),Non-Compliant,Compliant on some patients,Compliant on some patients,No,Lectures,Lectures,No,No,No,Training MD Intern / Resident / Fellow,Physician,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Physician,No,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine,,No,Yes,No,Never,Once a week,No,No,I don't know,No,I don't know,No,No,Yes,No,No,Yes,8,Not a Barrier,5,7,Not a Barrier,7,5,,Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2949651,Yes,Argentina,Buenos Aires,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,Active Participation / Present During Rounds,,,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial E: Early Mobility",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Simulations,Lectures Simulations,Lectures Simulations,Lectures Simulations,Lectures Simulations,Lectures Simulations,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Yes,Fentanyl Hydromorphone Morphine Ketamine Methadone Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol Ketamine,,Yes,Yes,Yes,Within 4-6 days of admission,Variable,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,1,1,1,1,1,1,1,"ZARRA, FRANCISCO (MD)",Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2949654,Yes,,,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,"B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 7-10 days of admission,Daily,No,No,No,No,No,No,Yes,No,No,Yes,Yes,1,4,4,1,4,4,4,,Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
